row_number,단지명,도시,구,동(법정동),주소(지번),주소(도로명),건물유형,준공연도,건물층수,기준평형,총 세대수,총 인구수,최초 설치일자,판매등급,판매수량,대당단가,4주 금액
60,민락노블랜드9단지,경기도,의정부시,낙양동,경기도 의정부시 낙양동 758 민락노블랜드엔에이치에프,"경기도 의정부시 용민로 374 (낙양동, 민락노블랜드엔에이치에프)",아파트,2019,25,0,792,2099,2020-08-07T00:00:00,A,18,7000,126000
61,민락호반베르디움2차아파트,경기도,의정부시,낙양동,경기도 의정부시 낙양동 760 6단지 호반베르디움,"경기도 의정부시 송양로 16 (낙양동, 6단지 호반베르디움)",아파트,2017,26,34,526,1394,2024-05-29T00:00:00,A+,12,10000,120000
62,양지마을8단지,경기도,의정부시,낙양동,경기도 의정부시 낙양동 754 양지마을8단지,"경기도 의정부시 송양로 45 (낙양동, 양지마을8단지)",아파트,2012,15,0,1161,3077,2019-06-14T00:00:00,A,23,7000,161000
63,용암마을13단지,경기도,의정부시,낙양동,경기도 의정부시 낙양동 747 용암마을13단지,"경기도 의정부시 용민로 429-39 (낙양동, 용암마을13단지)",아파트,2016,24,0,996,2639,2019-12-11T00:00:00,A,15,7000,105000
64,용암마을16단지아파트,경기도,의정부시,낙양동,경기도 의정부시 낙양동 749 용암마을16단지,"경기도 의정부시 용민로 420 (낙양동, 용암마을16단지)",아파트,2012,15,0,625,1656,2021-05-17T00:00:00,A,12,7000,84000
65,의정부민락푸르지오,경기도,의정부시,낙양동,경기도 의정부시 낙양동 757 의정부 민락 푸르지오,"경기도 의정부시 송양로 46 (낙양동, 의정부 민락 푸르지오)",아파트,2015,29,33,943,2499,2019-06-14T00:00:00,A+,18,10000,180000
66,녹양청구아파트,경기도,의정부시,녹양동,경기도 의정부시 녹양동 146-15 청구아파트,"경기도 의정부시 녹양로 71-7 (녹양동, 청구아파트)",아파트,1994,18,32,409,1084,2018-12-26T00:00:00,A,10,7000,70000
67,녹양휴먼시아1,경기도,의정부시,녹양동,경기도 의정부시 녹양동 409 녹양주공1단지,"경기도 의정부시 체육로 278 (녹양동, 휴먼시아)",아파트,2008,15,0,858,2274,2021-04-05T00:00:00,A,18,7000,126000
68,녹양휴먼시아2,경기도,의정부시,녹양동,경기도 의정부시 녹양동 411-1 녹양주공2단지,"경기도 의정부시 체육로 298-12 (녹양동, 휴먼시아)",아파트,2008,15,0,315,835,2020-12-01T00:00:00,A,8,7000,56000
69,녹양휴먼시아4단지,경기도,의정부시,녹양동,경기도 의정부시 녹양동 405 휴먼시아,"경기도 의정부시 본원로 40 (녹양동, 휴먼시아)",아파트,2008,15,33,332,880,2019-06-21T00:00:00,A,14,7000,98000
70,민락2지구제일풍경채센텀애비뉴모나코,경기도,의정부시,민락동,경기도 의정부시 민락동 803 민락2지구 제일풍경채 센텀-애비뉴모나코,경기도 의정부시 오목로 196 (민락동),오피스텔,2020,10,0,517,993,2020-09-04T00:00:00,A,12,7000,84000
71,민락e편한세상,경기도,의정부시,민락동,경기도 의정부시 민락동 550-4 민락e-편한세상,"경기도 의정부시 오목로 117 (민락동, 민락e-편한세상)",아파트,2006,22,32,474,1256,2023-04-20T00:00:00,A,12,7000,84000
72,민락센트럴17단지,경기도,의정부시,민락동,경기도 의정부시 민락동 891 민락센트럴,"경기도 의정부시 송양로 75 (민락동, 민락센트럴)",아파트,2013,20,34,312,827,2019-05-20T00:00:00,A,10,7000,70000
73,민락엘레트아파트,경기도,의정부시,민락동,경기도 의정부시 민락동 890 민락엘레트19단지,"경기도 의정부시 송양로 94 (민락동, 민락엘레트19단지)",아파트,2017,29,26,1540,4081,2021-11-11T00:00:00,A+,31,10000,310000
74,민락우미린더스카이아파트,경기도,의정부시,민락동,경기도 의정부시 민락동 889 의정부민락우미린더스카이,"경기도 의정부시 송양로 76 (민락동, 의정부민락우미린더스카이)",아파트,2018,34,34,732,1940,2024-01-08T00:00:00,A+,14,10000,140000
75,민락주공2단지아파트,경기도,의정부시,민락동,경기도 의정부시 민락동 695-1 민락주공2단지,"경기도 의정부시 오목로 150 (민락동, 민락주공2단지)",아파트,1999,20,25,860,2279,2021-06-03T00:00:00,A+,20,10000,200000
76,민락청구1차아파트,경기도,의정부시,민락동,경기도 의정부시 민락동 576 민락1차 청구아파트,"경기도 의정부시 오목로 110 (민락동, 민락1차 청구아파트)",아파트,2000,25,24,868,2300,2023-08-14T00:00:00,A+,18,10000,180000
77,산들마을1단지아파트,경기도,의정부시,민락동,경기도 의정부시 민락동 691-1 산들마을신안·길훈·현대아파트,"경기도 의정부시 용현로 143 (민락동, 산들마을신안·길훈·현대아파트)",아파트,1999,20,24,1830,4850,2020-07-31T00:00:00,A+,50,10000,500000
78,송산리버빌아파트,경기도,의정부시,민락동,경기도 의정부시 민락동 731-3 송산리버빌아파트,"경기도 의정부시 송현로 87 (민락동, 송산리버빌아파트)",아파트,2000,20,33,320,848,2020-09-07T00:00:00,A,8,7000,56000
79,의정부송산3,경기도,의정부시,민락동,경기도 의정부시 민락동 735-3 송산주공아파트,"경기도 의정부시 효자로 38 (민락동, 송산주공아파트)",아파트,2003,20,0,390,1034,2020-09-08T00:00:00,A,6,7000,42000
80,중흥에스클래스트와이스,경기도,의정부시,민락동,경기도 의정부시 민락동 803-2,경기도 의정부시 민락로 195 (민락동),오피스텔,2020,10,0,546,1048,2020-09-03T00:00:00,A,14,7000,98000
81,탑석드림캐슬,경기도,의정부시,민락동,경기도 의정부시 민락동 757-4 탑석 드림캐슬 아파트,"경기도 의정부시 오목로 72 (민락동, 탑석 드림캐슬 아파트)",아파트,2002,20,23,735,1948,2020-09-02T00:00:00,A,18,7000,126000
82,고산대광로제비앙더퍼스트,경기도,의정부시,산곡동,경기도 의정부시 산곡동 676 대광로제비앙 더 퍼스트,"경기도 의정부시 서광로 169 (산곡동, 대광로제비앙 더 퍼스트)",아파트,2020,25,32,722,1913,2019-04-30T00:00:00,A,17,7000,119000
83,고산더라피니엘,경기도,의정부시,산곡동,경기도 의정부시 산곡동 710 고산 더 라피니엘,"경기도 의정부시 서광로 101 (산곡동, 고산 더 라피니엘)",아파트,2022,25,0,880,2332,2020-11-12T00:00:00,A,23,7000,161000
84,e편한세상신곡포레스타뷰,경기도,의정부시,신곡동,경기도 의정부시 신곡동 817 e편한세상 신곡 포레스타뷰,"경기도 의정부시 금신로 276 (신곡동, e편한세상 신곡 포레스타뷰)",아파트,2020,29,0,1773,4698,2019-01-15T00:00:00,A+,37,10000,370000
85,금오주공9단지,경기도,의정부시,신곡동,경기도 의정부시 신곡동 790 주공아파트,"경기도 의정부시 부용로 236 (신곡동, 주공아파트)",아파트,2002,20,0,1450,3843,2020-01-20T00:00:00,A,25,7000,175000
86,금오풍림아이원아파트,경기도,의정부시,신곡동,경기도 의정부시 신곡동 755-2 풍림아이원아파트,"경기도 의정부시 장곡로 532 (신곡동, 풍림아이원아파트)",아파트,2005,20,31,606,1606,2020-09-23T00:00:00,A,17,7000,119000
