row_number,단지명,도시,구,동(법정동),주소(지번),주소(도로명),건물유형,준공연도,건물층수,기준평형,총 세대수,총 인구수,최초 설치일자,판매등급,판매수량,대당단가,4주 금액
112,의정부롯데캐슬골드파크1단지,경기도,의정부시,의정부동,경기도 의정부시 의정부동 721 의정부 롯데캐슬 골드파크 1단지,"경기도 의정부시 범골로63번길 13 (의정부동, 의정부 롯데캐슬 골드파크 1단지)",아파트,2018,27,32,919,2435,2020-09-03T00:00:00,A+,22,10000,220000
113,의정부역센트럴자이앤위브캐슬,경기도,의정부시,의정부동,경기도 의정부시 의정부동 724 의정부역센트럴자이&amp;위브캐슬,"경기도 의정부시 경의로 132 (의정부동, 의정부역센트럴자이&amp;위브캐슬)",아파트,2022,36,0,2473,6553,2023-02-06T00:00:00,A+,56,10000,560000
114,한라비발디루트,경기도,의정부시,의정부동,경기도 의정부시 의정부동 220-110 한라비발디루트,"경기도 의정부시 호국로 1303 (의정부동, 한라비발디루트)",아파트,2005,20,33,309,819,2021-11-18T00:00:00,A,10,7000,70000
115,한원힐트리움더테라스,경기도,의정부시,의정부동,경기도 의정부시 의정부동 184-3 의정부한원힐트리움더테라스,"경기도 의정부시 행복로 45 (의정부동, 의정부한원힐트리움더테라스)",오피스텔,2019,25,0,361,693,2022-03-04T00:00:00,A,3,7000,21000
116,수락리버시티1단지아파트,경기도,의정부시,장암동,경기도 의정부시 장암동 413 수락 리버시티1단지,"경기도 의정부시 누원로 51 (장암동, 수락 리버시티1단지)",아파트,2009,15,32,680,1802,2018-11-23T00:00:00,A,16,7000,112000
117,수락리버시티2단지아파트,경기도,의정부시,장암동,경기도 의정부시 장암동 412 수락 리버시티2단지,"경기도 의정부시 누원로 52 (장암동, 수락 리버시티2단지)",아파트,2009,15,23,473,1253,2019-04-10T00:00:00,A,17,7000,119000
118,장암주공2단지아파트,경기도,의정부시,장암동,경기도 의정부시 장암동 5 장암1단지주공· 장암2단지주공아파트,"경기도 의정부시 동일로 397 (장암동, 장암1단지주공· 장암2단지주공아파트)",아파트,1993,15,17,1661,4402,2021-09-27T00:00:00,A,25,7000,175000
119,주택관리공단㈜장암1,경기도,의정부시,장암동,경기도 의정부시 장암동 5 장암1단지주공· 장암2단지주공아파트,"경기도 의정부시 동일로 397 (장암동, 장암1단지주공· 장암2단지주공아파트)",아파트,1991,15,0,1122,2973,2021-01-11T00:00:00,A,16,7000,112000
120,호원5차우성아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 451-1 호원5차우성아파트,"경기도 의정부시 안말로 90 (호원동, 호원5차우성아파트)",아파트,1994,23,33,494,1309,2023-01-04T00:00:00,A,11,7000,77000
121,호원미도아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 318-1 미도아파트,"경기도 의정부시 전좌로 204 (호원동, 미도아파트)",아파트,1995,23,32,552,1463,2022-09-14T00:00:00,A,10,7000,70000
122,호원신도4차아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 421 신도아파트,"경기도 의정부시 회룡로149번길 10 (호원동, 신도아파트)",아파트,1996,22,26,239,633,2022-09-14T00:00:00,A,5,7000,35000
123,호원신도6(6-1)차아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 401-1 신도아파트,"경기도 의정부시 범골로29번길 34 (호원동, 신도아파트)",아파트,1997,25,28,741,1964,2020-12-08T00:00:00,A,19,7000,133000
124,호원신원아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 327-1 신원아파트,"경기도 의정부시 회룡로105번길 37 (호원동, 신원아파트)",아파트,1997,20,32,470,1246,2020-09-17T00:00:00,A,9,7000,63000
125,호원쌍용스윗닷홈,경기도,의정부시,호원동,경기도 의정부시 호원동 313-37 쌍용스윗닷홈,"경기도 의정부시 신흥로 81 (호원동, 쌍용스윗닷홈)",아파트,2005,15,33,128,339,2020-05-07T00:00:00,A,5,7000,35000
126,호원한승아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 425 한승아파트,"경기도 의정부시 평화로 374 (호원동, 한승아파트)",아파트,1998,19,33,144,382,2022-12-12T00:00:00,A,4,7000,28000
127,호원한신1차아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 10-1 한신아파트,"경기도 의정부시 회룡로 111 (호원동, 한신아파트)",아파트,1991,15,27,204,541,2023-09-19T00:00:00,A,7,7000,49000
128,호원한신2차아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 10-3 한신2차아파트,"경기도 의정부시 회룡로105번길 7 (호원동, 한신2차아파트)",아파트,1994,24,32,278,737,2022-03-17T00:00:00,A,6,7000,42000
129,호원한주4차아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 432-9 한주4차아파트,"경기도 의정부시 평화로322번길 37 (호원동, 한주4차아파트)",아파트,1996,24,25,334,885,2020-11-04T00:00:00,A,9,7000,63000
130,호원현대아이파크아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 467 아이파크호원동,"경기도 의정부시 평화로150번길 26 (호원동, 아이파크호원동)",아파트,2003,22,34,700,1855,2021-09-06T00:00:00,A,18,7000,126000
131,호원현대아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 419 현대아파트,"경기도 의정부시 회룡로137번길 30 (호원동, 현대아파트)",아파트,1995,22,24,193,511,2018-11-23T00:00:00,A,4,7000,28000
132,회룡역풍림아이원아파트,경기도,의정부시,호원동,경기도 의정부시 호원동 308-139 회룡역풍림아이원,"경기도 의정부시 외미로 64 (호원동, 회룡역풍림아이원)",아파트,2007,23,34,397,1052,2018-11-23T00:00:00,A,12,7000,84000
133,의정부시 합계,,,,,,,,,,56131,,,,1208,,
